timestamp,open,high,low,close,volume
2020-10-12,10.75,10.77,10.61,10.68,3234869
2020-10-13,10.7,10.79,10.47,10.59,2289759
2020-10-14,10.68,10.68,10.345,10.52,3046213
2020-10-15,10.4,10.55,10.3523,10.47,1751474
2020-10-16,10.65,11.005,10.57,10.68,4722829
2020-10-19,10.72,10.88,10.51,10.64,1402829
2020-10-20,10.58,10.5939,10.25,10.35,3004661
2020-10-21,10.33,10.35,10.1,10.22,3893030
2020-10-22,10.24,10.285,10.09,10.15,6352729
2020-10-23,10.2,10.25,10.08,10.2,2620646
2020-10-26,10.11,10.21,10.02,10.1,2814498
2020-10-27,10.06,10.15,10.06,10.08,1278203
2020-10-28,10.0,10.05,9.91,9.99,3894578
2020-10-29,9.98,9.995,9.9382,9.98,4225920
2020-10-30,9.9,10.04,9.87,10.02,2344515
2020-11-02,9.95,9.99,9.92,9.98,832634
2020-11-03,9.97,10.0,9.94,9.99,680177
2020-11-04,9.97,10.11,9.97,10.06,998855
2020-11-05,10.05,10.14,10.0,10.08,762858
2020-11-06,10.02,10.1,9.975,10.03,1112654
2020-11-09,10.04,10.18,9.99,10.03,896765
2020-11-10,9.96,10.035,9.95,9.98,2134249
2020-11-11,9.95,9.99,9.935,9.95,1168251
2020-11-12,9.96,9.98,9.92,9.94,749605
2020-11-13,9.92,9.9955,9.91,9.97,1905220
2020-11-16,10.07,10.08,9.97,9.99,833254
2020-11-17,10.04,10.05,9.97,10.0,677667
2020-11-18,10.01,10.03,9.96,9.98,756963
2020-11-19,10.0,10.01,9.96,9.99,924954
2020-11-20,10.0,10.17,9.97,10.04,3836554
2020-11-23,10.06,10.06,9.96,10.01,1918044
2020-11-24,10.02,10.03,9.98,10.01,4498790
2020-11-25,10.03,10.35,10.01,10.29,5184001
2020-11-27,10.32,10.5,10.26,10.27,3456671
2020-11-30,10.44,10.48,10.22,10.39,3171200
2020-12-01,10.41,10.41,10.22,10.26,2075888
2020-12-02,10.25,10.345,10.15,10.25,1223873
2020-12-03,10.33,10.33,10.21,10.25,1347210
2020-12-04,10.3,10.74,10.23,10.51,7121405
2020-12-07,10.74,11.04,10.56,10.94,17597005
2020-12-08,11.45,11.5,11.045,11.18,19322398
2020-12-09,11.47,11.76,10.85,11.27,14610268
2020-12-10,11.42,11.8,11.27,11.5,10395583
2020-12-11,11.52,11.67,11.07,11.36,6535784
2020-12-14,11.55,11.55,11.12,11.23,7926299
2020-12-15,11.5,11.51,11.05,11.05,7250257
2020-12-16,10.99,11.1,10.7,10.88,7232134
2020-12-17,10.84,11.03,10.56,11.02,7773436
2020-12-18,11.24,12.36,11.07,12.08,19455327
2020-12-21,12.59,13.95,12.13,13.25,19575331
2020-12-22,13.69,14.17,12.56,13.45,15116817
2020-12-23,13.9,15.14,13.61,14.02,15546477
2020-12-24,14.46,15.345,14.26,14.9,10840977
2020-12-28,16.76,17.2,15.74,17.07,18968089
2020-12-29,16.52,16.88,15.35,16.24,14976424
2020-12-30,15.81,16.97,15.79,16.0,8843790
2020-12-31,16.14,16.814,15.52,16.77,8701298
2021-01-04,17.4,17.45,14.16,15.61,21001682
2021-01-05,15.41,16.0,14.81,15.09,13198784
2021-01-06,15.39,16.47,14.15,14.53,26843568
2021-01-07,15.215,16.33,14.75,16.02,20563753
2021-01-08,15.3,17.24,14.55,15.9,15379993
2021-01-11,15.9306,15.9306,14.75,14.98,13793299
2021-01-12,14.86,15.45,14.27,14.62,15341867
2021-01-13,14.56,14.77,13.8,14.0,13885993
2021-01-14,14.15,14.52,13.57,14.01,13765612
2021-01-15,13.87,14.18,13.1,13.24,13851378
2021-01-19,13.69,14.28,13.2707,13.75,13329634
2021-01-20,13.89,14.33,13.61,13.73,9519175
2021-01-21,13.785,13.9299,13.33,13.59,7794582
2021-01-22,13.45,14.14,13.21,13.55,11561950
2021-01-25,14.26,14.95,13.61,13.93,16186962
2021-01-26,14.01,15.88,13.85,15.76,25700193
2021-01-27,15.4,16.84,13.95,14.25,22931102
2021-01-28,14.78,15.45,13.5,14.07,17912551
2021-01-29,14.05,14.7,13.6,13.95,12310606
2021-02-01,14.13,14.4,13.5,13.81,10178512
2021-02-02,14.37,14.4,13.91,13.97,10766725
2021-02-03,14.07,14.2478,13.83,13.95,8780096
2021-02-04,12.24,13.1,11.86,12.23,69989931
2021-02-05,12.53,13.07,11.3,12.93,66575311
2021-02-08,13.04,13.13,12.165,12.37,34364435
2021-02-09,12.62,13.7,12.4,13.16,29947567
2021-02-10,13.18,13.25,12.34,12.5,16855352
2021-02-11,12.38,12.48,11.76,12.01,14698960
2021-02-12,11.9252,12.39,11.75,12.08,9652781
2021-02-16,12.2,12.23,11.4,11.49,18244979
2021-02-17,11.13,11.54,11.05,11.32,13066107
2021-02-18,11.11,11.2411,10.51,10.83,15000015
2021-02-19,10.8,11.31,10.55,10.98,16930777
2021-02-22,11.0,11.67,10.98,11.08,12770683
2021-02-23,10.62,10.88,9.68,10.13,18013167
2021-02-24,10.1571,10.49,10.05,10.34,8457295
2021-02-25,10.3,10.57,9.56,9.71,14521036
2021-02-26,9.92,10.0,9.16,9.4,15608413
2021-03-01,9.97,10.82,9.81,10.37,19560693
2021-03-02,9.85,9.85,9.0,9.04,31920215
2021-03-03,8.99,9.28,8.02,8.29,25552444
2021-03-04,8.08,8.27,6.93,7.29,29250589
2021-03-05,7.62,7.96,6.31,7.84,27624268
